#,title,artist,href,file,title (max32)
171,Esclave en fuite,Manu Militari,https://genius.com/Manu-militari-esclave-en-fuite-lyrics,Manu-militari-esclave-en-fuite,Manu-militari-esclave-en-fuite
172,Zaybae,FouKi,https://genius.com/Fouki-zaybae-lyrics,Fouki-zaybae,Fouki-zaybae
173,Peace and Love,Manu Militari,https://genius.com/Manu-militari-peace-and-love-lyrics,Manu-militari-peace-and-love,Manu-militari-peace-and-love
174,Aweille,Dead Obies,https://genius.com/Dead-obies-aweille-lyrics,Dead-obies-aweille,Dead-obies-aweille
175,What It Is,Dead Obies,https://genius.com/Dead-obies-what-it-is-lyrics,Dead-obies-what-it-is,Dead-obies-what-it-is
176,Barillet,Souldia,https://genius.com/Souldia-barillet-lyrics,Souldia-barillet,Souldia-barillet
177,Jolies Filles,Koriass (Ft. Lary Kidd ),https://genius.com/Koriass-jolies-filles-lyrics,Koriass-jolies-filles,Koriass-jolies-filles
178,Bénis,Koriass & FouKi,https://genius.com/Koriass-and-fouki-benis-lyrics,Koriass-and-fouki-benis,Koriass-and-fouki-benis
179,Répertoire des rappeurs & rappeuses québécois·es,Genius Québec,https://genius.com/Genius-quebec-repertoire-des-rappeurs-and-rappeuses-quebecoises-annotated,Genius-quebec-repertoire-des-rappeurs-and-rappeuses-quebecoises-an,Genius-quebec-repertoire-des-rap
180,S.P.A.L.A.,FouKi (Ft. Vendou ),https://genius.com/Fouki-spala-lyrics,Fouki-spala,Fouki-spala
181,Lait de chèvre,Koriass (Ft. FouKi ),https://genius.com/Koriass-lait-de-chevre-lyrics,Koriass-lait-de-chevre,Koriass-lait-de-chevre
182,OUINOUIN,Les Anticipateurs,https://genius.com/Les-anticipateurs-ouinouin-lyrics,Les-anticipateurs-ouinouin,Les-anticipateurs-ouinouin
183,Au début,White-B,https://genius.com/White-b-au-debut-lyrics,White-b-au-debut,White-b-au-debut
184,Changement de décor,Manu Militari,https://genius.com/Manu-militari-changement-de-decor-lyrics,Manu-militari-changement-de-decor,Manu-militari-changement-de-deco
185,Petit Jésus,Lary Kidd,https://genius.com/Lary-kidd-petit-jesus-lyrics,Lary-kidd-petit-jesus,Lary-kidd-petit-jesus
186,PARANO,Lost & Loud,https://genius.com/Lost-and-loud-parano-lyrics,Lost-and-loud-parano,Lost-and-loud-parano
187,Escobar,Enima,https://genius.com/Enima-escobar-lyrics,Enima-escobar,Enima-escobar
