#,title,artist,href
181,Lait de chèvre,Koriass (Ft. FouKi ),https://genius.com/Koriass-lait-de-chevre-lyrics
182,OUINOUIN,Les Anticipateurs,https://genius.com/Les-anticipateurs-ouinouin-lyrics
183,Au début,White-B,https://genius.com/White-b-au-debut-lyrics
184,Changement de décor,Manu Militari,https://genius.com/Manu-militari-changement-de-decor-lyrics
185,Petit Jésus,Lary Kidd,https://genius.com/Lary-kidd-petit-jesus-lyrics
186,PARANO,Lost & Loud,https://genius.com/Lost-and-loud-parano-lyrics
187,Escobar,Enima,https://genius.com/Enima-escobar-lyrics
188,Croise les doigts,Tizzo & Shreez & Le Ice (Ft. Peeda & Salgrimo ),https://genius.com/Tizzo-and-shreez-and-le-ice-croise-les-doigts-lyrics
189,Poséidon,Lost (Ft. Demso & Ryan (QC) ),https://genius.com/Lost-poseidon-lyrics
190,Avenir,Rowjay (Ft. Serane ),https://genius.com/Rowjay-avenir-lyrics
191,Légendaire,"Imposs (Ft. Loud , Rymz , Tizzo & White-B )",https://genius.com/Imposs-legendaire-lyrics
192,Marche vitale,Manu Militari,https://genius.com/Manu-militari-marche-vitale-lyrics
193,Les âmes perdues,Manu Militari,https://genius.com/Manu-militari-les-ames-perdues-lyrics
194,Gruau,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-gruau-lyrics
195,La Purge,Random (QC) (Ft. White-B ),https://genius.com/Random-qc-la-purge-lyrics
196,All In,Les Anticipateurs,https://genius.com/Les-anticipateurs-all-in-lyrics
197,Cette nuit,Enima (Ft. Russkov ),https://genius.com/Enima-cette-nuit-lyrics
198,Maybach,Enima,https://genius.com/Enima-maybach-lyrics
199,Cabane à Sucre,Les Anticipateurs,https://genius.com/Les-anticipateurs-cabane-a-sucre-lyrics
200,Tony Hawk,Dead Obies,https://genius.com/Dead-obies-tony-hawk-lyrics
201,St-Eustache,Koriass,https://genius.com/Koriass-st-eustache-lyrics
202,Water,"Enima (Ft. Hoodrich Pablo Juan , Ness (USA) , Offset & Quavo )",https://genius.com/Enima-water-lyrics
203,Death Note,Zinera,https://genius.com/Zinera-death-note-lyrics
204,Pour chaque goutte de pétrole,Manu Militari,https://genius.com/Manu-militari-pour-chaque-goutte-de-petrole-lyrics
205,Président,Enima,https://genius.com/Enima-president-lyrics
206,JSP,Enima,https://genius.com/Enima-jsp-lyrics
207,Forêts,Yes Mccan (Ft. Caballero & JeanJass & Ogee Rodman ),https://genius.com/Yes-mccan-forets-lyrics
208,Risques,Enima,https://genius.com/Enima-risques-lyrics
209,Le rappel,Manu Militari (Ft. Souldia ),https://genius.com/Manu-militari-le-rappel-lyrics
210,1919,High Klassified (Ft. Zach Zoya ),https://genius.com/High-klassified-1919-lyrics
211,Sourire aux lèvres,Souldia,https://genius.com/Souldia-sourire-aux-levres-lyrics
212,BP3,Lost,https://genius.com/Lost-bp3-lyrics
213,Paralyser,Lost (Ft. MB ),https://genius.com/Lost-paralyser-lyrics
214,Gang Shit,VT,https://genius.com/Vt-gang-shit-lyrics
215,RX,Jeune Loup,https://genius.com/Jeune-loup-rx-lyrics
216,14AM,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-14am-lyrics
